price,price_per_sqft,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price_band
2384000.0,653.1506849315068,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,"$2,000,000–$3,000,000"
1400000.0,479.45205479452056,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1200000.0,412.37113402061857,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1395000.0,347.8802992518703,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
2280000.0,168.38995568685377,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,"$2,000,000–$3,000,000"
1425000.0,641.8918918918919,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,2000,0,1857 41st Ave E,Seattle,WA 98112,USA,"$1,184,050–$1,500,000"
1225000.0,351.0028653295129,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0,2560 39th Ave W,Seattle,WA 98199,USA,"$1,184,050–$1,500,000"
1580000.0,420.21276595744683,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,5650 NE 55th St,Seattle,WA 98105,USA,"$1,500,000–$2,000,000"
1870000.0,414.6341463414634,5.0,4.0,4510,15175,2.0,0,0,3,4510,0,1969,2002,8300 SE 82nd St,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
1800000.0,400.89086859688194,5.0,5.0,4490,10279,2.0,0,0,3,3930,560,2013,1923,1435 104th Ave SE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
3200000.0,515.2979066022544,7.0,4.5,6210,8856,2.5,0,2,5,4760,1450,1910,0,1230 Warren Ave N,Seattle,WA 98109,USA,"$3,000,000–$5,000,000"
1500000.0,421.34831460674155,6.0,2.5,3560,6480,2.5,0,0,4,3560,0,1914,1945,903 22nd Ave E,Seattle,WA 98112,USA,"$1,500,000–$2,000,000"
1340000.0,452.7027027027027,3.0,3.0,2960,5500,2.0,0,2,3,2440,520,1937,1990,3529 W Howe St,Seattle,WA 98199,USA,"$1,184,050–$1,500,000"
1532500.0,358.89929742388756,5.0,4.5,4270,8076,2.0,0,0,3,3400,870,2007,0,11017 101st Pl NE,Kirkland,WA 98033,USA,"$1,500,000–$2,000,000"
1750000.0,498.57549857549856,6.0,3.0,3510,5760,2.5,0,0,4,3510,0,1906,1990,806 15th Ave E,Seattle,WA 98112,USA,"$1,500,000–$2,000,000"
1500000.0,617.283950617284,3.0,1.75,2430,12757,1.0,0,2,4,1340,1090,1952,0,9842 Vineyard Crest,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
1307000.0,466.7857142857143,5.0,3.25,2800,3200,1.5,0,0,5,1910,890,1932,2002,365 Halladay St,Seattle,WA 98109,USA,"$1,184,050–$1,500,000"
1250000.0,327.22513089005236,4.0,3.25,3820,24166,2.0,0,1,4,3310,510,1990,0,8565 E Mercer Way,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
2400000.0,800.0,3.0,2.25,3000,11665,1.5,1,4,3,3000,0,2001,0,East Lake Sammamish Trail,Sammamish,WA 98075,USA,"$2,000,000–$3,000,000"
1370000.0,368.2795698924731,4.0,2.75,3720,9450,1.0,0,4,5,1960,1760,1962,0,13615 Somerset Ln SE,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1702500.0,328.0346820809249,5.0,4.5,5190,23716,2.0,0,2,3,3390,1800,1987,2000,8608 N Mercer Way,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
2238888.0,307.96258596973865,5.0,6.5,7270,130017,2.0,0,0,3,6420,850,2010,0,7070 270th Pl SE,Issaquah,WA 98029,USA,"$2,000,000–$3,000,000"
1225000.0,226.01476014760146,4.0,4.5,5420,101930,1.0,0,0,3,3890,1530,2001,0,25005 NE Patterson Way,Redmond,WA 98053,USA,"$1,184,050–$1,500,000"
1200000.0,769.2307692307693,3.0,1.75,1560,8078,1.5,1,4,4,1560,0,1928,0,3603 W Mercer Way,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1575000.0,431.5068493150685,5.0,2.75,3650,20150,1.0,0,0,4,2360,1290,1975,0,1216 86th Ave NE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
1315000.0,380.0578034682081,4.0,3.5,3460,3997,2.0,0,0,3,2560,900,2004,2003,2346 N 59th St,Seattle,WA 98103,USA,"$1,184,050–$1,500,000"
1300000.0,557.9399141630902,4.0,3.25,2330,9687,2.0,0,3,3,2330,0,1918,0,731 McGilvra Blvd E,Seattle,WA 98112,USA,"$1,184,050–$1,500,000"
1346400.0,398.3431952662722,5.0,1.75,3380,20021,1.0,0,0,4,1690,1690,1963,0,9640 NE 32nd St,Clyde Hill,WA 98004,USA,"$1,184,050–$1,500,000"
1225000.0,399.0228013029316,4.0,2.25,3070,16028,1.0,0,3,3,1870,1200,1976,0,8434 W Mercer Way,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1264000.0,362.1776504297994,4.0,3.75,3490,9170,2.0,0,0,3,3490,0,2012,1912,10442 SE 13th St,Bellevue,WA 98004,USA,"$1,184,050–$1,500,000"
1895000.0,607.3717948717949,5.0,2.25,3120,16672,2.0,0,0,4,3120,0,1969,0,9045 NE 40th Pl,Yarrow Point,WA 98004,USA,"$1,500,000–$2,000,000"
2555000.0,482.07547169811323,4.0,2.5,5300,26211,2.0,1,2,2,4570,730,1923,0,4437 55th Ave NE,Seattle,WA 98105,USA,"$2,000,000–$3,000,000"
1550000.0,459.9406528189911,5.0,3.25,3370,17458,1.0,0,2,5,2000,1370,1982,0,8126-8196 Forest Ave SE,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
1400000.0,396.60056657223794,5.0,4.25,3530,7924,2.0,0,0,3,3530,0,2001,0,2278 72nd Ave SE,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1680000.0,345.679012345679,5.0,3.25,4860,23723,2.0,0,2,4,3820,1040,1989,0,9250 SE 36th Pl,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
1400000.0,549.0196078431372,3.0,2.5,2550,7200,2.0,0,2,3,2550,0,1981,2013,316 Lake Washington Blvd S,Seattle,WA 98144,USA,"$1,184,050–$1,500,000"
1222500.0,248.9816700610998,4.0,3.5,4910,9444,1.5,0,0,3,3110,1800,2007,0,4531 205th Pl NE,Sammamish,WA 98074,USA,"$1,184,050–$1,500,000"
1255000.0,392.1875,4.0,2.5,3200,7535,2.0,0,0,3,3200,0,2006,0,5038 48th Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
2100000.0,591.5492957746479,4.0,1.75,3550,19865,2.0,0,0,3,3550,0,1962,2002,7822 NE 14th St,Medina,WA 98039,USA,"$2,000,000–$3,000,000"
2000000.0,308.1664098613251,5.0,4.25,6490,10862,2.0,0,3,4,3940,2550,1991,0,4080 E Mercer Way,Mercer Island,WA 98040,USA,"$2,000,000–$3,000,000"
1270000.0,230.07246376811594,4.0,3.0,5520,8313,2.0,0,3,3,3570,1950,2008,0,4468 158th Ave SE,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1216000.0,381.19122257053294,4.0,2.5,3190,8684,1.0,0,3,5,1680,1510,1967,0,4625 Somerset Dr SE,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1405000.0,412.02346041055716,4.0,3.5,3410,10769,2.0,0,0,3,3410,0,2008,0,10635 SE 2nd St,Bellevue,WA 98004,USA,"$1,184,050–$1,500,000"
1190000.0,531.25,4.0,3.0,2240,6000,1.5,0,0,4,1270,970,1914,1945,2009 4th Ave N,Seattle,WA 98109,USA,"$1,184,050–$1,500,000"
1300000.0,296.80365296803654,4.0,3.5,4380,74052,1.0,0,0,3,4380,0,2001,0,5830 246th Pl NE,Redmond,WA 98053,USA,"$1,184,050–$1,500,000"
1212500.0,265.89912280701753,4.0,3.5,4560,16643,1.0,0,3,3,2230,2330,1995,0,16864 SE 57th Pl,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1275000.0,447.36842105263156,4.0,2.0,2850,7861,1.0,0,4,4,1450,1400,1970,0,3014 NW Esplanade,Seattle,WA 98117,USA,"$1,184,050–$1,500,000"
1800000.0,403.58744394618833,4.0,3.5,4460,16953,1.0,0,0,3,2550,1910,1962,1994,2625 82nd Ave NE,Medina,WA 98039,USA,"$1,500,000–$2,000,000"
1690000.0,497.05882352941177,3.0,1.75,3400,8965,1.0,0,2,5,1820,1580,1957,0,3872 50th Ave NE,Seattle,WA 98105,USA,"$1,500,000–$2,000,000"
1506000.0,411.4754098360656,4.0,3.25,3660,5800,2.5,0,0,3,3360,300,1909,1995,1020 15th Ave E,Seattle,WA 98112,USA,"$1,500,000–$2,000,000"
1580000.0,428.18428184281845,3.0,3.25,3690,7200,2.0,0,0,3,3690,0,2007,0,440 8th Ave,Kirkland,WA 98033,USA,"$1,500,000–$2,000,000"
1220000.0,376.5432098765432,4.0,2.5,3240,3600,2.0,0,0,3,2060,1180,2008,0,2433 1st Ave N,Seattle,WA 98109,USA,"$1,184,050–$1,500,000"
1185000.0,429.3478260869565,3.0,2.25,2760,40946,2.0,0,0,5,2760,0,1978,0,13204 NE 45th St,Bellevue,WA 98005,USA,"$1,184,050–$1,500,000"
1550000.0,347.5336322869955,3.0,2.5,4460,26027,2.0,0,0,3,4460,0,1992,0,126th Ln NE,Kirkland,WA 98033,USA,"$1,500,000–$2,000,000"
2700000.0,508.9538171536287,5.0,4.75,5305,8401,2.0,0,2,3,3745,1560,2005,0,1010 6th St W,Kirkland,WA 98033,USA,"$2,000,000–$3,000,000"
1600000.0,506.32911392405066,3.0,2.5,3160,12824,1.0,0,2,4,1820,1340,1966,0,9410 Lake Washington Blvd NE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
2150000.0,424.901185770751,4.0,5.5,5060,10320,2.0,0,0,3,5060,0,2008,0,1500-1598 98th Ave NE,Bellevue,WA 98004,USA,"$2,000,000–$3,000,000"
1325000.0,393.1750741839763,4.0,3.0,3370,7920,1.0,0,3,3,1860,1510,1988,2000,3524 NW 67th St,Seattle,WA 98117,USA,"$1,184,050–$1,500,000"
1610000.0,366.74259681093395,4.0,3.5,4390,11600,2.0,0,3,3,3060,1330,1990,2009,2758 68th Ave SE,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
1200000.0,253.16455696202533,4.0,3.5,4740,172497,2.0,0,0,3,4740,0,2003,0,19933 NE 85th St,Redmond,WA 98053,USA,"$1,184,050–$1,500,000"
2000000.0,436.68122270742356,5.0,4.0,4580,4443,3.0,1,4,3,4580,0,2004,2003,4277 E Lake Sammamish Shore Ln SE,Sammamish,WA 98075,USA,"$2,000,000–$3,000,000"
1680000.0,300.8595988538682,4.0,4.25,5584,68257,2.0,0,0,3,5584,0,1998,2006,29002 NE 3rd Way,Carnation,WA 98014,USA,"$1,500,000–$2,000,000"
1570000.0,511.40065146579803,4.0,3.75,3070,5850,2.0,0,0,5,2400,670,1927,0,1527 39th Ave E,Seattle,WA 98112,USA,"$1,500,000–$2,000,000"
1795000.0,442.1182266009852,4.0,3.25,4060,13000,2.0,0,3,3,4060,0,2000,0,6875 SE 33rd St,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
1655000.0,537.3376623376623,4.0,3.5,3080,4815,2.0,0,3,3,2300,780,1937,2009,2441-2499 Crane Dr W,Seattle,WA 98199,USA,"$1,500,000–$2,000,000"
1381000.0,437.0253164556962,4.0,3.75,3160,9525,2.5,0,0,3,3160,0,1997,0,4646 88th Ave SE,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1600000.0,422.16358839050133,3.0,3.25,3790,19000,2.0,0,4,3,3790,0,1985,0,17780 13th Ave NW,Seattle,WA 98177,USA,"$1,500,000–$2,000,000"
1710000.0,372.54901960784315,5.0,4.5,4590,14685,2.0,0,0,3,4590,0,2009,0,6402-6412 105th Ave NE,Kirkland,WA 98033,USA,"$1,500,000–$2,000,000"
1285000.0,396.60493827160496,4.0,2.5,3240,10800,1.0,0,0,3,2260,980,1946,0,5726 61st Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1400000.0,469.7986577181208,4.0,3.25,2980,7000,2.0,0,3,3,2140,840,1900,2014,3115 S Norman St,Seattle,WA 98144,USA,"$1,184,050–$1,500,000"
1210000.0,331.5068493150685,4.0,2.75,3650,6982,2.0,0,2,4,2530,1120,1951,2003,4911 NE 65th St,Seattle,WA 98115,USA,"$1,184,050–$1,500,000"
1970000.0,443.6936936936937,8.0,3.5,4440,6480,2.0,0,3,5,3140,1300,1959,0,1210 22nd Ave E,Seattle,WA 98112,USA,"$1,500,000–$2,000,000"
1400000.0,297.8723404255319,4.0,3.25,4700,9160,1.0,0,4,3,2520,2180,2005,0,5700-5798 SW Hinds St,Seattle,WA 98116,USA,"$1,184,050–$1,500,000"
2453500.0,518.7103594080338,4.0,3.5,4730,13586,1.5,0,0,5,4270,460,1935,0,1404 Broadmoor Dr E,Seattle,WA 98112,USA,"$2,000,000–$3,000,000"
3100000.0,444.12607449856733,6.0,4.25,6980,15682,3.0,0,4,4,5330,1650,1999,0,5243 Forest Ave SE,Mercer Island,WA 98040,USA,"$3,000,000–$5,000,000"
2750000.0,620.7674943566591,4.0,3.25,4430,21000,2.0,0,0,3,4430,0,1952,2007,3239 78th Pl NE,Medina,WA 98039,USA,"$2,000,000–$3,000,000"
1425000.0,287.2983870967742,4.0,4.25,4960,6000,2.5,0,0,3,3680,1280,1909,2003,2611 1st Ave N,Seattle,WA 98109,USA,"$1,184,050–$1,500,000"
2400000.0,579.7101449275362,4.0,3.25,4140,20734,1.0,0,1,3,3300,840,1977,2005,9415 NE 27th St,Clyde Hill,WA 98004,USA,"$2,000,000–$3,000,000"
1385000.0,242.98245614035088,6.0,2.75,5700,20000,1.0,0,4,4,2850,2850,1977,0,4600-4748 136th Ave SE,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1365000.0,653.11004784689,3.0,2.5,2090,6000,1.5,0,0,4,2090,0,1928,0,3832 43rd Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1886700.0,451.3636363636364,5.0,3.5,4180,17935,2.0,0,0,3,4180,0,2004,2003,2526 104th Ave SE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
1256500.0,398.8888888888889,4.0,2.5,3150,13700,2.0,0,0,4,3150,0,1966,0,8551 SE 80th St,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
3710000.0,668.4684684684685,4.0,3.5,5550,28078,2.0,0,2,4,3350,2200,2000,0,3222 78th Pl NE,Medina,WA 98039,USA,"$3,000,000–$5,000,000"
1505000.0,432.4712643678161,4.0,3.5,3480,7232,2.0,0,0,3,2580,900,1926,2010,1905 33rd Ave S,Seattle,WA 98144,USA,"$1,500,000–$2,000,000"
1595000.0,438.1868131868132,5.0,3.0,3640,8239,2.0,0,3,3,2540,1100,1982,0,17200 SE 29th Ct,Bellevue,WA 98008,USA,"$1,500,000–$2,000,000"
1250000.0,395.56962025316454,5.0,3.25,3160,13238,2.0,0,0,5,3160,0,1972,0,7325 86th Ave SE,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1965221.0,449.70732265446225,4.0,3.5,4370,8510,2.0,0,1,3,3610,760,2003,0,2523-2533 103rd Ave SE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
1298000.0,465.23297491039426,4.0,3.5,2790,10125,1.5,0,0,5,2790,0,1985,0,4510 89th Ave SE,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1270000.0,396.875,5.0,2.5,3200,17204,1.0,0,0,3,2160,1040,1952,2008,8726 NE 11th St,Bellevue,WA 98004,USA,"$1,184,050–$1,500,000"
1901000.0,714.6616541353384,3.0,2.5,2660,13367,2.0,0,2,3,2660,0,1992,0,4612 92nd Ave NE,Yarrow Point,WA 98004,USA,"$1,500,000–$2,000,000"
2400000.0,703.8123167155425,5.0,3.25,3410,9088,2.0,0,3,3,2760,650,1912,1994,309 W Prospect St,Seattle,WA 98119,USA,"$2,000,000–$3,000,000"
2005000.0,526.2467191601049,6.0,4.5,3810,28176,1.0,0,4,5,3810,0,1969,0,18309 17th Pl NW,Shoreline,WA 98177,USA,"$2,000,000–$3,000,000"
1300000.0,333.1624807790877,6.0,4.5,3902,3880,3.0,0,4,4,2782,1120,1977,0,2306 Halleck Ave SW,Seattle,WA 98116,USA,"$1,184,050–$1,500,000"
1800000.0,409.09090909090907,5.0,4.5,4400,15580,2.0,0,0,3,3390,1010,2003,0,1404-1418 100th Ave NE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
1415000.0,302.9978586723769,4.0,5.25,4670,43950,2.0,0,0,3,4670,0,1989,0,6324 160th Pl SE,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1300000.0,304.4496487119438,4.0,4.0,4270,6002,2.0,0,3,3,3180,1090,2004,2003,1645 30th Ave NE,Issaquah,WA 98029,USA,"$1,184,050–$1,500,000"
1370000.0,556.910569105691,2.0,2.25,2460,16940,1.5,0,4,4,1930,530,1936,0,6827 36th Ave NW,Seattle,WA 98117,USA,"$1,184,050–$1,500,000"
1280000.0,425.24916943521595,4.0,3.5,3010,3600,2.0,0,0,3,2370,640,1999,0,1622 38th Ave E,Seattle,WA 98112,USA,"$1,184,050–$1,500,000"
2700000.0,610.8597285067873,4.0,3.25,4420,7850,2.0,1,4,3,3150,1270,2001,0,17834 SE 40th Pl,Bellevue,WA 98008,USA,"$2,000,000–$3,000,000"
1635000.0,387.4407582938389,5.0,3.5,4220,26784,1.0,0,0,3,2110,2110,1958,2006,400 Detwiller Ln,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
1339000.0,315.05882352941177,4.0,2.5,4250,19387,2.0,0,2,4,3260,990,1972,0,9426 SE 52nd St,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1350000.0,409.09090909090907,4.0,3.25,3300,15907,2.0,0,0,5,3300,0,1985,0,9213 SE 68th St,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1900000.0,460.0484261501211,4.0,3.25,4130,112521,2.0,0,0,3,4130,0,1978,0,13117 NE 33rd St,Bellevue,WA 98005,USA,"$1,500,000–$2,000,000"
1225000.0,447.08029197080293,4.0,2.5,2740,16007,2.0,0,0,3,2740,0,1984,0,2557 Medina Cir,Medina,WA 98039,USA,"$1,184,050–$1,500,000"
1230000.0,404.60526315789474,4.0,2.5,3040,7000,2.0,0,0,3,3040,0,2001,0,7024 SE 20th St,Mercer Island,WA 98040,USA,"$1,184,050–$1,500,000"
1240000.0,438.1625441696113,5.0,3.0,2830,7500,2.0,0,0,3,2460,370,1923,1998,4007 48th Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1795000.0,340.607210626186,5.0,3.25,5270,17232,2.0,0,1,3,4010,1260,1977,2003,5355 84th Pl SE,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
7062500.0,703.4362549800796,5.0,4.5,10040,37325,2.0,1,2,3,7680,2360,1940,2001,4442 95th Ave NE,Bellevue,WA 98004,USA,"$5,000,000–$10,000,000"
2888000.0,333.10265282583623,5.0,6.25,8670,64033,2.0,0,4,3,6120,2550,1965,2003,1291 NW Elford Dr,Seattle,WA 98177,USA,"$2,000,000–$3,000,000"
1365000.0,324.22802850356294,5.0,3.5,4210,17258,2.0,0,3,3,4210,0,1995,0,5564 169th Pl SE,Bellevue,WA 98006,USA,"$1,184,050–$1,500,000"
1325000.0,414.0625,5.0,2.25,3200,20158,1.0,0,0,3,1600,1600,1965,1993,2154-2398 94th Ave NE,Clyde Hill,WA 98004,USA,"$1,184,050–$1,500,000"
1485000.0,368.4863523573201,4.0,3.75,4030,10800,2.0,0,0,3,4030,0,2006,0,619 9th Ave,Kirkland,WA 98033,USA,"$1,184,050–$1,500,000"
2250000.0,462.962962962963,5.0,4.25,4860,9453,1.5,0,1,5,3100,1760,1905,0,173 37th Ave E,Seattle,WA 98112,USA,"$2,000,000–$3,000,000"
1228000.0,214.31064572425828,4.0,2.5,5730,44947,2.0,0,4,3,4280,1450,1991,0,20709 SE 4th St,Sammamish,WA 98074,USA,"$1,184,050–$1,500,000"
